Income,Age,LoanAmount,CreditHistory,ExistingDebts,Score
123958,73,18505,0,7,Average
52674,73,27826,1,6,Good
135975,75,9503,1,0,Good
117380,31,31391,1,8,Good
105682,49,16301,1,7,Good
112104,33,23472,0,1,Average
101150,51,41679,0,2,Average
192331,53,32356,1,3,Good
97633,30,28954,1,2,Good
191636,19,33313,1,3,Good
87645,59,22702,1,2,Good
52521,62,27423,1,8,Good
31306,39,19748,0,7,Average
37301,74,8648,0,6,Average
142949,61,12832,1,6,Good
99004,79,18833,1,6,Good
193834,51,15973,0,3,Average
133758,40,9432,1,3,Good
76292,76,16410,1,0,Good
60763,60,20289,0,8,Average
57505,24,24671,1,2,Good
46326,61,34879,1,2,Average
142479,54,2307,1,5,Good
100030,51,49410,1,4,Good
120077,54,19548,1,6,Good
85776,52,27958,1,5,Good
96642,22,45562,1,7,Good
45261,40,13023,0,2,Average
123226,39,36893,1,8,Good
82847,37,27379,1,5,Good
127740,24,14958,1,4,Good
107839,26,42757,1,5,Good
169523,45,31948,1,6,Good
134739,31,41613,1,0,Good
64282,65,24750,1,5,Good
48376,36,44435,1,6,Average
49132,45,13701,1,8,Average
77044,72,17526,1,3,Good
34019,20,5793,0,0,Average
127352,25,43571,1,8,Good
145212,42,17420,0,7,Average
110862,61,38657,1,9,Good
166693,50,46087,1,2,Good
32520,52,41451,1,5,Average
112624,64,17867,1,4,Good
54131,23,41092,1,3,Good
83251,55,31345,1,9,Good
168421,19,21460,1,4,Good
55355,36,29000,1,3,Good
198708,30,6547,1,0,Good
22862,18,34138,1,5,Poor
138037,67,45445,0,8,Average
190657,49,23599,1,7,Good
171788,44,7508,1,8,Good
33905,19,41724,1,8,Average
145065,27,44928,1,0,Good
151070,57,30164,1,9,Good
81788,60,29329,1,7,Good
157283,33,22011,1,3,Good
150674,36,30801,1,5,Good
46488,42,7362,1,4,Average
167563,53,49693,1,6,Good
187890,50,45376,0,0,Average
128729,64,11157,0,8,Average
190396,55,31527,1,9,Good
67973,58,38457,1,1,Good
187510,71,42172,1,9,Good
194423,56,10776,1,0,Good
179532,21,6503,1,7,Good
55566,71,23752,1,4,Good
49547,67,40316,1,4,Average
90644,45,34288,1,6,Good
63263,68,15952,1,1,Good
82671,35,18631,1,9,Good
24481,58,17764,1,3,Poor
171472,40,19615,0,8,Average
94210,40,45378,1,2,Good
179528,73,26071,1,5,Good
34775,29,46132,1,3,Average
140243,47,10105,1,4,Good
140633,38,29061,1,5,Good
54944,48,13233,1,2,Good
68736,43,42885,1,5,Good
118008,45,41298,0,0,Average
21220,34,44387,1,3,Poor
61018,27,46417,1,2,Good
171640,58,5088,1,7,Good
129935,73,1725,1,4,Good
76717,64,15946,1,7,Good
126072,26,21265,1,5,Good
146968,56,33265,1,5,Good
86178,25,29013,1,6,Good
176451,21,14537,0,1,Average
184235,18,34496,1,4,Good
78542,58,11200,1,1,Good
193323,78,49903,0,7,Average
131605,36,10587,1,7,Good
116305,69,3145,1,6,Good
188066,79,1746,1,7,Good
137829,60,33891,1,3,Good
186012,19,27473,1,2,Good
28058,70,24350,1,1,Poor
79207,36,24016,1,8,Good
149823,35,7133,1,1,Good
90134,57,46881,0,1,Average
55198,41,24585,1,0,Good
128274,65,26782,0,5,Average
193700,47,20521,1,5,Good
177747,67,35409,0,4,Average
59703,72,4970,1,4,Good
160703,32,13671,1,4,Good
180355,47,33352,0,9,Average
38829,50,23539,0,5,Average
160586,28,40563,1,7,Good
122210,69,14628,1,0,Good
168921,62,45241,1,3,Good
60601,50,33781,1,0,Good
59110,41,28149,1,2,Good
192224,50,23161,0,5,Average
136372,65,7915,1,2,Good
53151,55,20615,1,4,Good
119990,21,49299,1,7,Good
110793,45,18855,0,3,Average
26672,46,7823,1,6,Poor
153806,60,32536,1,2,Good
57024,24,13039,0,1,Average
116137,62,38876,1,6,Good
49244,53,3153,1,6,Average
125119,59,30992,1,5,Good
53345,75,43432,0,1,Average
75049,72,36937,1,8,Good
194811,60,8043,1,0,Good
128590,46,27927,1,0,Good
36588,77,13835,1,3,Average
59996,42,18803,1,6,Good
70134,19,21808,1,1,Good
38598,56,7596,0,3,Average
41658,18,41855,1,2,Average
62618,29,36904,1,1,Good
68213,25,17934,1,9,Good
161033,73,27928,1,9,Good
78517,54,6829,1,0,Good
134229,35,15306,1,7,Good
97817,59,19298,1,5,Good
195780,30,3759,1,1,Good
146076,46,39991,1,2,Good
171678,36,29625,1,9,Good
143358,19,34296,1,7,Good
177243,41,34451,1,4,Good
82364,53,48764,0,9,Average
98043,76,5764,1,4,Good
182779,35,44343,1,2,Good
191739,58,42484,1,7,Good
109007,44,8313,1,4,Good
149487,32,24322,1,0,Good
132171,58,18080,1,4,Good
149341,31,39809,0,7,Average
64724,77,34532,1,2,Good
26181,78,30747,1,1,Poor
182093,75,32265,0,0,Average
93657,29,14258,1,3,Good
28494,22,27587,0,4,Poor
179110,75,47200,1,6,Good
28590,51,29880,1,7,Poor
180609,18,28309,1,0,Good
28119,19,43655,1,8,Poor
78818,53,35333,0,5,Average
40332,73,42980,1,9,Average
139890,60,22775,1,1,Good
86762,18,38615,1,2,Good
191152,60,46454,0,5,Average
135100,33,7522,1,2,Good
165006,52,1150,0,9,Average
20911,54,11062,1,3,Poor
33473,29,45010,1,1,Average
184200,40,32602,1,4,Good
121987,43,37236,1,9,Good
152222,53,34542,1,7,Good
64855,26,2028,1,1,Good
119054,33,29633,1,9,Good
60656,35,42180,1,8,Good
52768,29,16507,1,1,Good
155330,49,45569,0,0,Average
139537,56,18671,1,9,Good
125814,20,12307,1,8,Good
185177,36,43667,0,6,Average
154582,37,22368,0,8,Average
72874,28,3232,1,5,Good
95278,35,19563,1,6,Good
36315,18,24757,1,6,Average
198047,77,7433,1,6,Good
68802,56,14446,1,0,Good
193820,21,16220,0,9,Average
114651,68,37126,1,4,Good
154764,79,39849,1,6,Good
82286,57,44561,1,6,Good
124261,79,39454,1,4,Good
157980,66,3757,1,1,Good
89079,31,32213,0,1,Average
103214,63,35097,1,8,Good
112930,63,19343,1,3,Good
166693,63,42257,0,3,Average
159796,75,44620,0,2,Average
135564,72,22451,1,4,Good
149993,18,1335,0,3,Average
20305,72,43318,0,1,Poor
152822,22,12481,1,3,Good
21922,30,5890,1,6,Poor
127547,68,47745,1,4,Good
79312,55,34098,1,4,Good
148441,58,40744,1,4,Good
150708,28,45064,1,9,Good
133337,66,14270,1,8,Good
120688,68,38694,1,6,Good
109132,45,28594,1,8,Good
198212,59,12754,1,0,Good
62898,33,20730,0,7,Average
80967,25,31474,1,1,Good
79564,51,28962,1,3,Good
90713,73,15747,1,0,Good
55423,24,23247,0,0,Average
26703,23,30133,1,3,Poor
179842,45,41524,1,0,Good
172722,18,31592,1,5,Good
50576,72,27382,1,9,Good
87009,24,43048,1,7,Good
164680,60,10506,0,2,Average
156643,46,2724,1,1,Good
72327,64,11548,1,5,Good
74363,59,21093,1,1,Good
129046,35,16038,1,6,Good
141198,50,1307,1,0,Good
152232,28,9554,0,0,Average
82654,34,10457,1,8,Good
84428,31,34158,1,7,Good
172399,18,48875,1,0,Good
36666,39,12334,1,3,Average
42950,19,44118,1,0,Average
196740,45,27488,1,2,Good
125678,34,44004,1,1,Good
91308,49,12021,1,1,Good
103988,44,42123,1,4,Good
30051,21,39859,1,9,Average
46538,32,40875,1,4,Average
167341,59,26448,0,3,Average
173191,32,3254,1,0,Good
26006,60,23836,0,8,Poor
99669,51,2268,1,6,Good
52936,57,7551,1,0,Good
31384,41,33704,1,1,Average
59971,63,22983,1,1,Good
180666,79,3262,1,6,Good
26101,51,6514,1,7,Poor
199971,52,24888,0,8,Average
161726,65,16228,0,5,Average
186215,75,32321,0,5,Average
35543,67,44820,0,5,Average
34441,57,42047,0,9,Average
34613,64,28803,1,8,Average
99461,70,39876,1,6,Good
138661,48,47917,1,9,Good
130358,34,9234,1,5,Good
51904,72,38079,1,3,Good
192448,72,48365,1,5,Good
122171,37,27357,0,3,Average
127042,51,25116,1,3,Good
161366,44,23422,0,3,Average
177387,30,19020,1,6,Good
22267,58,31922,1,6,Poor
186247,76,18808,1,6,Good
179550,53,5650,1,8,Good
82672,25,30970,0,4,Average
61722,22,35788,1,4,Good
83878,73,43955,1,1,Good
62973,28,2036,1,8,Good
129629,50,1762,1,2,Good
77664,54,45231,1,4,Good
195235,44,36883,1,3,Good
41892,59,1509,1,8,Average
69262,58,14032,0,0,Average
141863,52,12471,1,7,Good
161036,76,45545,1,0,Good
99665,53,41658,0,6,Average
54007,64,24944,1,7,Good
78356,67,43811,1,3,Good
28975,49,39298,1,1,Poor
162594,56,45424,1,7,Good
111224,27,15748,1,1,Good
113063,19,1585,1,9,Good
138607,59,22112,1,5,Good
183148,23,23071,0,6,Average
177588,71,23401,1,2,Good
55615,41,36757,1,6,Good
37457,77,45358,1,5,Average
120031,26,3788,1,5,Good
20012,68,10001,0,9,Poor
96847,18,32283,1,9,Good
49971,76,28060,1,2,Average
117543,25,17429,0,5,Average
184982,52,48249,1,2,Good
85623,22,34100,1,6,Good
178532,65,15997,1,2,Good
105912,21,25045,0,5,Average
179705,29,38585,1,7,Good
61873,54,44237,1,5,Good
172740,76,42331,1,4,Good
139625,64,1205,1,2,Good
54061,59,3011,1,8,Good
197546,58,40099,1,4,Good
148368,44,3060,1,3,Good
82775,23,49508,1,8,Good
172893,48,39193,1,8,Good
155308,75,6009,1,4,Good
192010,40,45609,1,1,Good
166250,77,11147,0,0,Average
117775,40,28997,1,4,Good
148689,64,30868,1,7,Good
34313,55,14101,0,3,Average
197647,70,14659,0,7,Average
59134,46,28850,0,1,Average
171508,29,49473,1,0,Good
28286,52,13866,0,5,Poor
186115,24,5577,1,4,Good
44859,26,18438,1,3,Average
171122,24,4555,1,0,Good
188643,74,15524,1,0,Good
119325,68,24628,1,2,Good
75322,32,35656,1,7,Good
191411,54,21078,1,8,Good
199825,78,38842,1,3,Good
26209,54,27231,1,8,Poor
75770,39,37632,1,1,Good
130457,53,43901,1,6,Good
31758,53,37124,0,0,Average
78850,41,23164,1,9,Good
84876,45,32286,1,8,Good
36332,66,41865,1,6,Average
67317,55,32866,1,1,Good
192287,35,20078,0,6,Average
161866,71,12467,1,7,Good
144118,33,14571,1,0,Good
94592,45,29891,1,8,Good
98837,25,26750,1,5,Good
142104,68,42754,1,5,Good
147911,33,28382,1,8,Good
47907,71,27537,1,3,Average
69127,70,39722,0,8,Average
153679,42,36080,0,0,Average
46497,78,43913,1,0,Average
87199,20,26043,1,0,Good
128025,24,41375,1,5,Good
66618,45,39863,1,9,Good
96910,77,29377,0,7,Average
60945,39,37664,1,7,Good
166947,50,30892,1,0,Good
58184,50,39036,0,5,Average
129198,27,32312,1,2,Good
130687,49,13537,1,5,Good
113436,73,41250,1,1,Good
43533,62,2239,1,7,Average
22737,39,10520,0,0,Poor
25736,34,20701,0,2,Poor
122586,61,12531,1,2,Good
190655,71,21964,1,2,Good
75082,68,25162,1,5,Good
172948,52,35975,1,8,Good
130097,48,45150,0,0,Average
63496,47,2428,1,1,Good
118618,70,19783,1,7,Good
74300,47,3191,1,6,Good
148861,75,16748,1,6,Good
91948,37,21371,1,3,Good
130245,78,20721,1,2,Good
122683,36,43927,1,6,Good
179783,40,9776,0,7,Average
99256,76,46251,1,4,Good
107272,63,21441,0,4,Average
197392,58,42362,1,0,Good
68263,70,1299,1,6,Good
131488,52,7245,1,3,Good
73797,39,28509,1,3,Good
131650,72,12353,1,2,Good
21553,55,21218,1,6,Poor
163611,20,12909,1,4,Good
83142,49,16446,0,3,Average
171814,42,33202,0,2,Average
84817,41,18849,1,3,Good
85735,24,7377,0,0,Average
162350,42,25912,1,4,Good
90569,58,28241,1,3,Good
180444,67,6286,1,5,Good
133033,43,28140,1,1,Good
86067,50,49913,1,8,Good
53946,23,9035,1,6,Good
45138,46,38079,1,9,Average
87135,26,14353,1,4,Good
70753,47,19787,1,5,Good
146079,18,37224,0,6,Average
69144,32,35552,1,2,Good
160038,53,3645,1,8,Good
108224,68,15193,1,4,Good
26163,65,33997,1,7,Poor
193139,37,39233,1,9,Good
168797,39,43359,1,7,Good
21646,30,15275,1,1,Poor
197836,56,42339,1,4,Good
88046,46,17273,0,1,Average
109744,42,22757,0,0,Average
177038,29,31405,1,9,Good
100040,27,15485,1,4,Good
127403,24,30385,0,7,Average
165024,50,1373,1,4,Good
182784,65,18579,1,3,Good
111236,76,42858,1,2,Good
68719,41,36081,1,7,Good
164957,69,35036,1,3,Good
122299,49,15979,1,1,Good
88412,46,44246,1,4,Good
137427,26,43625,1,9,Good
169301,39,25637,1,9,Good
70374,68,49690,1,1,Good
40626,75,36225,0,4,Average
97548,74,6579,1,0,Good
32976,54,4927,1,0,Average
164988,38,24235,1,9,Good
45030,29,45098,1,6,Average
137711,40,7499,1,8,Good
153982,39,28082,1,5,Good
111523,79,41011,0,0,Average
174824,75,46717,1,5,Good
186542,19,20941,1,5,Good
64000,59,11815,1,6,Good
121475,55,6635,1,7,Good
62632,22,14713,1,9,Good
55393,65,2176,0,0,Average
181821,18,42585,1,9,Good
171235,44,10710,1,7,Good
186870,18,15578,1,4,Good
69912,34,19469,0,4,Average
146055,57,2643,1,4,Good
82979,39,45778,1,4,Good
57859,70,40644,1,4,Good
70149,27,34403,1,8,Good
20482,38,10564,1,0,Poor
162764,58,22564,1,9,Good
86350,33,37422,0,8,Average
198805,76,31994,0,8,Average
192894,38,44150,1,5,Good
78207,77,32348,0,7,Average
67549,33,16346,1,3,Good
39057,28,21251,1,3,Average
163206,54,46800,1,5,Good
87389,18,17489,1,3,Good
95844,63,20086,1,9,Good
182120,28,46986,1,5,Good
107199,47,42685,1,7,Good
169082,52,28755,1,0,Good
54365,51,48937,1,8,Good
75940,18,42561,1,9,Good
27598,74,32947,1,8,Poor
51196,65,21192,1,6,Good
136875,26,37653,1,6,Good
85182,56,47139,0,3,Average
136475,37,8144,1,2,Good
169341,40,19671,1,6,Good
70732,57,49245,1,6,Good
152855,44,44321,1,4,Good
112547,62,27167,1,8,Good
140451,76,31443,0,6,Average
52014,34,43709,1,3,Good
170989,18,31574,1,8,Good
109709,73,8670,1,3,Good
134804,59,38179,1,2,Good
31363,30,6781,1,8,Average
165861,61,6357,0,8,Average
133057,68,1379,1,4,Good
105659,49,49884,1,6,Good
158201,38,2145,1,5,Good
35196,56,24945,1,0,Average
64937,61,8550,1,9,Good
147663,71,31457,1,7,Good
138597,37,3342,1,5,Good
124964,18,10608,1,9,Good
105244,45,32120,0,5,Average
108666,44,4720,1,1,Good
150833,55,39274,1,9,Good
32792,51,14419,1,1,Average
25672,53,22019,1,2,Poor
170032,79,10091,1,1,Good
99514,75,19119,0,4,Average
197035,48,4389,0,6,Average
105720,73,43704,1,6,Good
53018,79,34409,0,2,Average
179644,23,3590,1,7,Good
134952,43,40470,1,3,Good
34040,65,33186,1,5,Average
20836,49,49017,1,7,Poor
183378,73,20240,1,6,Good
41910,52,38490,1,0,Average
79056,18,47206,1,1,Good
183882,45,14918,1,5,Good
95270,63,6035,1,5,Good
46985,47,28890,0,5,Average
104260,47,40044,1,2,Good
176151,68,49310,1,6,Good
63626,49,27675,0,2,Average
46297,65,34412,1,6,Average
189197,25,18412,1,6,Good
199281,54,29721,1,3,Good
131929,50,48544,1,1,Good
162704,50,4465,1,7,Good
126066,48,41925,1,7,Good
89574,79,24251,0,4,Average
139625,21,30590,0,1,Average
173367,35,3815,1,3,Good
113835,66,5630,1,5,Good
124626,58,44572,1,4,Good
86792,73,37938,1,9,Good
185941,41,45316,1,3,Good
140574,29,26941,1,7,Good
138918,54,47590,1,7,Good
83086,38,12740,0,6,Average
121313,63,22066,1,1,Good
177572,65,18256,1,3,Good
80024,74,2643,1,7,Good
93983,35,22310,0,4,Average
128100,26,44589,0,6,Average
187558,37,43265,1,7,Good
189418,59,35152,0,3,Average
141102,46,37660,0,0,Average
145723,49,33888,1,0,Good
116807,26,44774,1,5,Good
162563,58,27230,1,5,Good
25891,54,10871,1,8,Poor
147772,77,15291,1,7,Good
58032,23,11255,1,0,Good
61264,39,16108,1,0,Good
168936,58,2143,1,4,Good
133349,46,1294,1,8,Good
132948,60,49046,1,4,Good
115422,76,13122,1,6,Good
52884,29,38053,1,8,Good
34735,56,48241,1,7,Average
146602,78,13560,1,2,Good
128839,18,31135,0,2,Average
66782,43,38114,1,1,Good
101857,61,34532,1,3,Good
83936,49,46076,1,7,Good
190445,31,28501,1,7,Good
174208,65,11084,1,4,Good
102122,20,9088,1,0,Good
152985,43,41809,1,4,Good
33270,19,27732,0,2,Average
89316,53,23762,0,9,Average
144417,46,6494,1,0,Good
73906,43,24903,1,8,Good
121050,77,8142,0,4,Average
130826,33,21462,1,6,Good
142557,30,42954,1,5,Good
36823,66,38825,0,7,Average
185793,60,38280,1,5,Good
61674,19,22130,0,3,Average
116057,61,10052,1,8,Good
21630,18,17557,1,4,Poor
27345,30,47744,1,3,Poor
123553,50,14275,1,1,Good
39344,40,39267,1,1,Average
104962,48,23195,1,5,Good
133773,73,42929,1,5,Good
127373,49,14186,1,4,Good
148503,69,28216,1,3,Good
90483,28,23054,0,4,Average
27635,32,37695,1,4,Poor
54887,25,1511,1,3,Good
151713,21,20452,1,3,Good
60121,61,47265,0,4,Average
187382,50,2687,1,3,Good
62069,59,43363,1,1,Good
79762,43,20899,0,8,Average
53432,34,12536,0,4,Average
153393,60,23957,1,0,Good
44112,50,2302,1,0,Average
77310,44,41941,1,3,Good
193661,40,29178,1,4,Good
37694,73,11528,0,5,Average
174012,21,41764,1,9,Good
22835,54,36863,1,5,Poor
30207,22,8928,0,0,Average
138890,52,23867,0,5,Average
99375,75,47280,1,5,Good
44705,28,39134,1,7,Average
177484,75,39129,1,8,Good
38655,78,37082,0,7,Average
155911,25,6229,1,9,Good
39916,44,30240,1,3,Average
86745,47,47932,1,8,Good
39690,49,12527,1,8,Average
135122,28,27311,1,4,Good
165914,65,40341,1,8,Good
117596,59,14298,1,3,Good
135245,40,42320,1,0,Good
66142,76,25106,1,5,Good
103115,41,11780,1,1,Good
25710,48,23270,1,9,Poor
157748,54,49530,1,1,Good
67621,49,30592,1,5,Good
194349,55,49462,1,8,Good
48969,72,8022,1,3,Average
103992,69,20890,1,5,Good
134250,56,37626,1,7,Good
177809,57,47081,1,3,Good
89072,62,5530,1,9,Good
182262,43,25271,1,2,Good
128580,42,30119,1,1,Good
102490,72,17062,0,2,Average
72138,41,22859,1,7,Good
60101,61,49019,1,1,Good
53080,49,32497,1,2,Good
40077,27,48171,1,3,Average
91534,76,3129,0,6,Average
94415,74,42815,1,6,Good
167099,46,40368,1,1,Good
88140,54,37571,1,4,Good
155151,68,2858,1,9,Good
112003,34,6353,1,5,Good
67928,77,47320,1,1,Good
127163,79,21517,1,7,Good
198534,66,22049,1,2,Good
120912,21,38269,1,8,Good
94373,49,26727,1,6,Good
111623,19,32401,1,7,Good
35196,63,2851,0,4,Average
196551,50,2220,1,1,Good
132165,47,26005,1,7,Good
164209,73,41975,1,6,Good
63951,21,20993,0,3,Average
151614,77,30243,1,1,Good
48372,44,40884,1,4,Average
77951,23,15270,1,8,Good
117977,45,45100,1,2,Good
171699,42,47428,0,9,Average
183334,66,25496,1,4,Good
53298,44,43948,1,1,Good
